rank	uri	artist_names	track_name	source	peak_rank	previous_rank	weeks_on_chart	streams	ID
144	spotify:track:3yOuQI8yjJaApfdo4hdkVW	Zé Neto & Cristiano	Textão - Ao Vivo	Som Livre	87	123	3	690573	3yOuQI8yjJaApfdo4hdkVW
145	spotify:track:7DmZMqXYgQ1oI3z3bGUEbi	GIULIA BE	(não) era amor	WM Brazil	145	-1	1	689587	7DmZMqXYgQ1oI3z3bGUEbi
146	spotify:track:1zI3RU0boCVsAXChjCvESu	Ferrugem	Até que enfim - Ao vivo	WM Brazil	51	153	35	680494	1zI3RU0boCVsAXChjCvESu
147	spotify:track:0xnJMe159M24KsNWgTde3D	Zé Neto & Cristiano	Mais uma Dose de Você - Ao Vivo	Som Livre	147	-1	1	680261	0xnJMe159M24KsNWgTde3D
148	spotify:track:0DwzQguiWvB8jJonQ5ewJu	MC Lya, MC Henny, Dj GM	Virgem	LoveFunk	148	157	3	677431	0DwzQguiWvB8jJonQ5ewJu
149	spotify:track:0rUL7vUZmCKxB0gS83W3aM	Marília Mendonça, Leo Santana, Didá Banda Feminina	Apaixonadinha - Ao Vivo	Som Livre	54	141	44	675352	0rUL7vUZmCKxB0gS83W3aM
150	spotify:track:7N0Py2msno86enR6JPNlpV	Turma do Pagode	Muito Cedo	Sony Music Entertainment	141	147	5	674078	7N0Py2msno86enR6JPNlpV
151	spotify:track:01wavOnjFBNgdMWBFYIAP4	Sorriso Maroto, Dilsinho	50 Vezes - Ao Vivo	Sony Music Entertainment	44	152	43	673983	01wavOnjFBNgdMWBFYIAP4
152	spotify:track:0pqnGHJpmpxLKifKRmU6WP	Imagine Dragons	Believer	Kid Ina Korner / Interscope	38	150	163	665919	0pqnGHJpmpxLKifKRmU6WP
153	spotify:track:6i9ToXS6CAfjpp8veBklg1	Vitão	Café	Universal Music Ltda.	38	156	54	663779	6i9ToXS6CAfjpp8veBklg1
154	spotify:track:1DFD5Fotzgn6yYXkYsKiGs	MEDUZA, Goodboys	Piece Of Your Heart	Virgin	61	145	43	663763	1DFD5Fotzgn6yYXkYsKiGs
