,rank,uri,artist_names,track_name,source,peak_rank,previous_rank,weeks_on_chart,streams,ID,compound,neg,neu,pos
95,96,spotify:track:6v3KW9xbzN5yKLt9YKDYA2,"Shawn Mendes, Camila Cabello",Señorita,Island Records,2,112,51,802682,6v3KW9xbzN5yKLt9YKDYA2,0.9988,0.033,0.724,0.244
96,97,spotify:track:62aP9fBQKYKxi7PDXwcUAS,"Surf Mesa, Emilee",ily (i love you baby) (feat. Emilee),Astralwerks,97,101,5,800327,62aP9fBQKYKxi7PDXwcUAS,0.9784,0.079,0.78,0.141
97,98,spotify:track:0v8OKUrqZGoEbgEUXScRSQ,"Alok, THRDL!FE",Hear Me Tonight,Columbia/B1 Recordings,73,105,6,798509,0v8OKUrqZGoEbgEUXScRSQ,0.9952,0.0,0.796,0.204
98,99,spotify:track:4HBZA5flZLE435QTztThqH,"Ariana Grande, Justin Bieber",Stuck with U (with Justin Bieber),"Ariana Grande & Justin Bieber ""Stuck With U""- Charity",31,89,5,791380,4HBZA5flZLE435QTztThqH,-0.9952,0.197,0.726,0.078
99,100,spotify:track:2rRJrJEo19S2J82BDsQ3F7,Trevor Daniel,Falling,Alamo,55,104,26,788933,2rRJrJEo19S2J82BDsQ3F7,-0.9673,0.146,0.819,0.035
100,101,spotify:track:7CHi4DtfK4heMlQaudCuHK,"MEDUZA, Becky Hill, Goodboys",Lose Control,Virgin,63,109,26,786951,7CHi4DtfK4heMlQaudCuHK,0.9626,0.137,0.714,0.149
101,102,spotify:track:3MkdA6vwF0ifRl86yzTlJW,Matuê,Kenny G,Sony Music Entertainment,7,110,40,786936,3MkdA6vwF0ifRl86yzTlJW,0.8732,0.048,0.888,0.064
102,103,spotify:track:32qETd0e2eKMs2BiMocPc0,Simone & Simaria,Amoreco,"UMG Recordings, Inc.",13,122,17,776857,32qETd0e2eKMs2BiMocPc0,-0.6776,0.043,0.957,0.0
103,104,spotify:track:4UUtssVRs2aQTLQCAAtZg1,Jorge & Mateus,"Mil Anos - Recorded At Mosh Studios, São Paulo",Som Livre,38,98,26,770233,4UUtssVRs2aQTLQCAAtZg1,0.8402,0.0,0.953,0.047
104,105,spotify:track:5U28PY9MekLyCBYtLHGQpe,Melim,Meu Abrigo,Universal Music Ltda.,3,114,107,770053,5U28PY9MekLyCBYtLHGQpe,0.9022,0.04,0.886,0.074
105,106,spotify:track:14kRWkCWBYfQqILflEcpSJ,"Lexa, PEDRO SAMPAIO",Chama Ela (feat. Pedro Sampaio),Som Livre,6,125,37,769319,14kRWkCWBYfQqILflEcpSJ,-0.8593,0.038,0.962,0.0
106,107,spotify:track:2bPtwnrpFNEe8N7Q85kLHw,"Anitta, Lexa, Luísa Sonza, Rebecca",Combatchy (feat. MC Rebecca),WM Brazil,1,119,30,768331,2bPtwnrpFNEe8N7Q85kLHw,-0.9637,0.061,0.939,0.0
107,108,spotify:track:4jGzR5Vri06Y5T9SxM7m5P,"Xand Avião, Gusttavo Lima",Algo Mais (Amante) - Ao Vivo,Som Livre,14,123,56,766500,4jGzR5Vri06Y5T9SxM7m5P,-0.9688,0.018,0.981,0.001
108,109,spotify:track:330oIFOtslgdc4TBVApQuY,"MC Du Black, Jully",50 Tons,Universal Music Ltda.,109,133,5,760672,330oIFOtslgdc4TBVApQuY,-0.6103,0.014,0.986,0.0
109,110,spotify:track:5GAdMAL3tRJkVN1HtwohK2,"Mc Don Juan, Maiara & Maraisa",Vai Ter Que Aguentar,GR6 Music,110,192,2,754797,5GAdMAL3tRJkVN1HtwohK2,-0.9355,0.051,0.949,0.0
110,111,spotify:track:4E6RdcCWMiHTu7zy1VTNDo,Marília Mendonça,Todo Mundo Vai Sofrer - Ao Vivo,Som Livre,1,118,56,750441,4E6RdcCWMiHTu7zy1VTNDo,0.0,0.0,1.0,0.0
111,112,spotify:track:2DsZ6pXK1AG6emFugTeYW3,Melim,Gelo,"UMG Recordings, Inc.",38,120,42,733073,2DsZ6pXK1AG6emFugTeYW3,0.8738,0.0,0.974,0.026
112,113,spotify:track:5dKesZwp6deuhEeW8F1UEi,"Felipe Original, MC Kevin o Chris, Sodré, JS o Mão de Ouro",Hit Contagiante,Tudo Nosso Produtora,2,135,46,716059,5dKesZwp6deuhEeW8F1UEi,-0.9337,0.105,0.847,0.048
113,114,spotify:track:5OzvtpasMB3aPWpfVr0PsA,Luíza & Maurílio,Pode Sumir,Som Livre,114,141,2,715495,5OzvtpasMB3aPWpfVr0PsA,-0.9999,0.021,0.974,0.005
