rank	uri	artist_names	track_name	source	peak_rank	previous_rank	weeks_on_chart	streams	ID
178	spotify:track:7wMAgaPiKzTNxpDWu2BPfk	Gabriel Diniz	Jenifer	Universal Music Ltda.	1	155	34	473024	7wMAgaPiKzTNxpDWu2BPfk
179	spotify:track:5KNi9XFap48ry4puG7rvqv	Ferrugem	Pra você acreditar - Ao vivo	WM Brazil	56	183	64	472952	5KNi9XFap48ry4puG7rvqv
180	spotify:track:6MWtB6iiXyIwun0YzU6DFP	Post Malone	Wow.	Republic Records	76	-1	25	471417	6MWtB6iiXyIwun0YzU6DFP
181	spotify:track:6YNCE5qtrTa7YcnAOAEsDQ	Lulu Santos	Apenas Mais uma de Amor	Ariola	111	195	63	470390	6YNCE5qtrTa7YcnAOAEsDQ
182	spotify:track:7CBImG41isOs2r7lQU7CCy	MC Kevinho, Gusttavo Lima	Salvou meu dia (Participação especial de Gusttavo Lima)	WM Brazil	34	164	8	468402	7CBImG41isOs2r7lQU7CCy
183	spotify:track:28SWsF1IQxfc9bP5yua35K	Lexa, Gloria Groove	Provocar	Som Livre	34	100	31	467881	28SWsF1IQxfc9bP5yua35K
184	spotify:track:2vRBYKWOyHtFMtiK60qRz7	ANAVITÓRIA, TIAGO IORC	Trevo (Tu)	Universal Music Ltda.	25	190	126	466434	2vRBYKWOyHtFMtiK60qRz7
185	spotify:track:6HaTYIUKd8SzdvGOfutBRD	Delacruz, Maria, Ducon, Luiz Lins, Diomedes Chinaski, BK, Kayuá, Pineapple StormTv, Salve Malak	Poesia Acústica #2: Sobre Nós	PineappleStorm	91	192	75	464413	6HaTYIUKd8SzdvGOfutBRD
186	spotify:track:6WkJ2OK163XXS2oARUC9JM	Aaron Smith, Krono, Luvli	Dancin (feat. Luvli) - Krono Remix	Sony Music Entertainment	56	197	45	463713	6WkJ2OK163XXS2oARUC9JM
187	spotify:track:69KvEkL28yjwoOtApmB6CL	MC Hollywood, MC Kevinho	É rave que fala né	WM Brazil	119	175	15	461138	69KvEkL28yjwoOtApmB6CL
188	spotify:track:7JdZZfozlODQ08ATf8xIZ6	Gustavo Mioto, Jorge & Mateus	Anti Amor - Ao Vivo	Universal Music Ltda.	7	182	75	458630	7JdZZfozlODQ08ATf8xIZ6
189	spotify:track:2cbMXc0P5s271VwZOUk1Gb	Zé Neto & Cristiano	Mulher Maravilha - Ao Vivo	Som Livre	31	170	50	458229	2cbMXc0P5s271VwZOUk1Gb
190	spotify:track:2AuQcbltEHog9kOv9Ms3W3	Gusttavo Lima	Sujeito - Ao Vivo	Som Livre	133	185	34	457487	2AuQcbltEHog9kOv9Ms3W3
191	spotify:track:0PaAB17axL9hn88mHiw8g0	Humberto & Ronaldo, Jerry Smith	Não Fala Não pra Mim	Humberto e Ronaldo	5	173	51	454614	0PaAB17axL9hn88mHiw8g0
192	spotify:track:3h3fui1QXImL2zRcs9v2Lc	Casa Worship, Julliany Souza, Léo Brandão	A Casa É Sua	A Casa É Sua	192	-1	1	450728	3h3fui1QXImL2zRcs9v2Lc
193	spotify:track:5kuUOpHZlZjL8b7HXkxRsm	Xamã, Neo Beats, Matuê	Luxúria	Baguá Records	169	-1	27	450639	5kuUOpHZlZjL8b7HXkxRsm
194	spotify:track:6iW38RGqdDGOofmz2HeXLW	MEDUZA, Alok, Goodboys	Piece Of Your Heart - Alok Remix	Virgin	194	-1	1	448629	6iW38RGqdDGOofmz2HeXLW
195	spotify:track:2Ab1wPTEqulaCGoBak1gUo	Matheus & Kauan, Anitta	Ao Vivo E A Cores	Universal Music Ltda.	1	189	59	447681	2Ab1wPTEqulaCGoBak1gUo
196	spotify:track:0R4dwzW253KTxchGryT1H6	Oriente, MC Hariel	Mandona - Acústico	Sony Music Entertainment	153	153	6	447172	0R4dwzW253KTxchGryT1H6
197	spotify:track:4fMjqKYYsvtT6Fvca8lGFl	Turma do Pagode	Sua Mãe Vai Me Amar	Turma do Pagode Produções Artísticas ltda.	42	-1	45	445850	4fMjqKYYsvtT6Fvca8lGFl
198	spotify:track:3TvRRQj7qg8GOD612X9hKT	MC Kevin o Chris, Vitor Canetinha	Namorar Não Dá	ADpar	198	-1	1	443480	3TvRRQj7qg8GOD612X9hKT
199	spotify:track:2PMLdLt5QeOuOgxfAvx1in	Luan Santana, Jorge & Mateus	Sofazinho - Ao Vivo	Som Livre	6	191	41	440495	2PMLdLt5QeOuOgxfAvx1in
200	spotify:track:4xc6RrWzEOdprPqYn9Cyen	DENNIS, MC G15	Só Você	Sony Music Entertainment	2	187	48	439447	4xc6RrWzEOdprPqYn9Cyen
